,ID,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
51,578011_016,1.4949853240708317,0.22433365044816586,232.93823383834732,27.549470919763134,232.66637212911775,27.267236531008894,232.100006029743,27.695471786208167,232.3723822048354,27.978325865360254
52,578011_017,1.541867881784332,0.21675447609913825,232.93829394484246,27.54972565135708,232.66601147244813,27.26707163951913,232.10011343361435,27.69563111441298,232.37214116436118,27.97844372051075
53,578012_016,1.3761068289654048,0.1962462669745482,233.53356045544018,28.1532171736133,233.2574057881152,27.873825594577102,232.69240489572104,28.305530938694833,232.9693425634242,28.586873597186443
54,578021_073,2.240466595104301,0.10714300849996232,233.85325237876876,26.837198544292907,233.57803949465833,26.55861684874202,233.02332759475377,26.99317878351231,233.29698590973783,27.27245297938808
55,578114_038,0.761218641037817,0.13368964141454828,234.96653179858578,29.18088321285469,234.68277252027357,28.90486866763331,234.1199286726387,29.34265506958625,234.40232648221638,29.621241778824636
56,578141_037,24.151630043963213,1.5401941013360407,235.86237105273864,25.223554986822858,235.58726940104776,24.94722433051474,235.04561401485145,25.389034474425284,235.32049564179042,25.665379278562842
57,578812_050,27.58324855011981,0.9200056793230345,233.97278992940306,27.81210867994824,233.69549657529183,27.53305098964368,233.13467520631625,27.967777981602577,233.41174161011656,28.248043756749833
58,578823_049,10.673249689817258,1.7615534710151657,235.48757065839044,27.688125470869785,235.20738714531552,27.411931146647238,234.65336913723917,27.852421068561,234.93383124352627,28.128800538921638
59,578823_051,26.933365384576952,1.6407603477429906,235.4873090146366,27.68822312675456,235.2081261171974,27.412022044804882,234.65348697352843,27.8524769641653,234.9342574537984,28.128682857577118
60,578833_049,11.027504511832566,1.5884132801548507,236.38883148073745,26.962974987472567,236.10832085612603,26.688853225256064,235.56047375905965,27.13185296786588,235.840805710703,27.407065960108234
61,578843_050,11.756696904541231,1.3490896777489894,237.27475812675578,26.22516258865313,236.99342205678806,25.95324990843484,236.45337625895158,26.400537592430123,236.73477831899623,26.673941844074104
62,579513_060,1.2748462329656185,0.08066465632499414,234.8021195038091,28.235985671993635,234.52145837578473,27.95851155391091,233.96134470813894,28.396010353001955,234.24108037485598,28.67462171345452
63,580511_058,2.055395527528446,0.15061213185899056,232.99569424417248,27.559484623792066,232.72254979565042,27.278797655934333,232.15898169240342,27.707676657030117,232.4317673052183,27.98946972955817
64,580521_059,1.6005853821882237,0.1338047238023178,234.1154170339106,26.63634231728433,233.84052166583933,26.358443539429146,233.2864739839835,26.79413343093851,233.56125641729867,27.074067234408187
65,581212_028,0.2429658237448295,0.1780794115668281,233.98360127617337,27.812143926591997,233.70554673562475,27.534020405837623,233.14509514216752,27.968123466080282,233.4216516700536,28.24760989906113
66,581213_028,0.08540900844085722,0.1690800319849708,234.58778407601588,28.412730829457264,234.30790513141176,28.134291884767347,233.74567539995155,28.570897840403802,234.0252617148804,28.849682952473703
67,581312_047,1.3848755394574273,0.04461669515452552,234.20319593852645,27.639558660434172,233.92506817890248,27.361733530879516,233.3667401543329,27.79738792807232,233.64305281856375,28.076859897223855
68,581511_005,1.89787249049319,0.1390639827956174,234.0398336448954,26.69544345472126,233.76558427738277,26.41650915107168,233.209958697422,26.850214561114957,233.48355204593219,27.13051139113691
69,581814_046,2.2786445505926403,0.23317262379458606,235.19888467741166,29.008242811612885,234.91491292805583,28.731841435590297,234.3533782461023,29.171233387668565,234.63618585097663,29.448701594259788
70,582111_084,31.822617626756486,1.8770391588535917,234.04356661853166,26.692113687986126,233.769339389835,26.412925446988503,233.21385639273012,26.847074149636807,233.48744121361003,27.127458155126366
71,582211_049,1.3065505102288346,0.11093762390154527,232.94769371258727,27.552548474439806,232.67539024760222,27.27053483033363,232.10916681827888,27.69867288576046,232.38081109182102,27.98146777659233
72,582212_049,49.257912375589974,0.8250728407648986,233.54252907693342,28.156859060738025,233.26611915759588,27.876714431463366,232.7010729010567,28.308942592695782,232.9771647055042,28.589643469857645
73,582232_050,0.0020881697701730915,0.14652337361045098,235.36576399494476,26.72413904220675,235.08885960742316,26.447086849970965,234.53734338496923,26.88582900477211,234.81448751200037,27.163759239075343
74,582313_095,0.2671576134543798,0.06147423180418333,234.36760508419638,28.587277685399386,234.08789351628403,28.30834387477427,233.52388247153186,28.743322772049506,233.80220992580723,29.023261931997993
75,582321_030,1.0751007920495277,0.019644260252327718,234.07858921451364,26.668380172949696,233.8033569156841,26.39004627956498,233.24976299262883,26.82546083297384,233.5242461519082,27.10479946124495
76,582325_095,1.3187049086989515,0.05289561550839042,236.50674786099972,29.04933998927497,236.21928473715744,28.775702040176945,235.66265492337666,29.220976061004777,235.94921337924532,29.495852358493057
77,582325_096,1.3646720865266966,0.04875571892209318,236.50663119112758,29.049354512357503,236.2191547851225,28.77570900355249,235.66253444087084,29.22102226222105,235.9491016120066,29.49567674847612
78,582332_030,2.0056139530231776,0.017145097355601602,235.5793590394654,26.548651752289995,235.3020746173095,26.272574048294256,234.75292292795544,26.712249092235403,235.02949808006582,26.98947200690781
79,582412_092,0.6184300756271006,0.123152592757483,233.9838728658852,27.812240991464538,233.70657798247922,27.533693333196453,233.14613774492886,27.967631401041572,233.42247580654285,28.247592513362484
80,582422_091,0.2514193571577107,0.12709077364698715,234.89426105026047,27.09117301665048,234.61592350268566,26.814700109107093,234.064130200052,27.255525787746254,234.34292772069907,27.53199053406077
81,582521_118,0.3142342611310395,0.1226930180227377,234.5102116295491,26.320999961347955,234.23479869737193,26.043812449524765,233.68486094423324,26.48157910008455,233.960395423097,26.759606708715122
82,582542_119,0.7907713478406256,0.10961310210181446,236.8947107580101,25.462089227045524,236.61641634668922,25.18755287052245,236.07697646537318,25.631313264620555,236.35368125095164,25.90678414148858
83,582612_108,0.6326936082903789,0.11922340735249184,234.42182912114225,27.466387803553427,234.14420436529736,27.18864414649617,233.5871728413406,27.625565927678334,233.86453888910845,27.904321232752096
