ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
577044_018,83,9,59,39.0618,-7,18,12.385,199,265,106,291,2018-04-18T14:20:00.634,2018,4,18,23,20,0.634,0.36504,102.009611,95.541406,150.466191,49.771512,27.585935,67,117,232.036833,29.919964,198980.3513,234.558346,28.461021,194754.9957
577044_019,83.5,9,58,45.0645,-7,16,25.784,30,244,14,61,2018-04-18T14:20:00.634,2018,4,18,23,20,0.634,0.36504,102.009611,95.541406,150.466191,49.771512,27.585935,67,117,232.036833,29.919964,198980.3513,234.558346,28.461021,194754.9957
577414_032,68,10,19,23.6648,-7,14,13.146,229,203,76,339,2018-04-18T14:24:31.612,2018,4,18,23,24,31.61224,0.28704,98.887341,93.67451,144.65118,63.617238,41.596315,35,83,231.690618,28.410624,201751.6097,235.036536,27.166288,198852.5364
577414_032,68,10,19,23.6648,-7,14,13.146,229,203,76,339,2018-04-18T14:24:31.993,2018,4,18,23,24,31.99288,0.20904,104.652792,102.167432,125.074323,78.343633,60.172612,32,62,231.468125,30.150717,202712.9148,235.290161,29.012353,204604.8743
577523_013,5.5,10,14,44.8609,-7,58,41.729,178,159,166,188,2018-04-18T14:25:24.418,2018,4,18,23,25,24.41824,0.19032,96.452477,93.369369,140.721641,55.060411,30.703996,27,50,232.260735,27.783882,200694.2086,233.74361,26.994412,199305.1345
578011_016,165.5,10,25,29.9816,-9,40,12.629,156,225,145,168,2018-04-18T14:30:54.233,2018,4,18,23,30,54.23344,0.3276,100.341338,95.761743,18.609889,52.386276,23.425233,51,101,233.450589,29.448942,198454.6041,232.35964,27.58343,200533.5851
578011_017,165.5,10,25,43.4183,-9,28,10.179,197,73,180,210,2018-04-18T14:30:54.233,2018,4,18,23,30,54.23344,0.3276,100.341338,95.761743,18.609889,52.386276,23.425233,51,101,233.450589,29.448942,198454.6041,232.35964,27.58343,200533.5851
578012_016,165,10,26,25.8624,-8,49,24.843,329,191,310,350,2018-04-18T14:30:54.233,2018,4,18,23,30,54.23344,0.3276,100.341338,95.761743,18.609889,52.386276,23.425233,51,101,233.450589,29.448942,198454.6041,232.35964,27.58343,200533.5851
578021_073,151,10,22,20.5463,-9,33,55.8,384,147,330,440,2018-04-18T14:31:22.604,2018,4,18,23,31,22.6036,0.34944,95.039011,91.356276,41.397237,56.212421,19.246847,53,105,233.405548,28.175124,195438.762,233.065711,26.48328,198352.8477
578114_038,102.5,10,25,53.4817,-7,8,12.969,226,128,80,342,2018-04-18T14:32:07.881,2018,4,18,23,32,7.88104,0.22776,100.235647,97.468902,81.720624,74.908527,48.670203,28,71,233.839094,29.970435,195300.4549,235.509698,27.886321,202131.619
