,ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,exposure_starting_time_tomoe,year_tomoe,month_tomoe,day_tomoe,hh[UT]_tomoe,mm_tomoe,ss_tomoe,ra1[deg],dec1[deg],ra2[deg],dec2[deg],az1[deg],el1[deg],az2[deg],el2[deg],az_middle[deg],el_middle[deg],az3[deg]_mu_at_kiso,el3[deg]_mu_at_kiso,az4[deg]_mu_at_kiso,el4[deg]_mu_at_kiso,az_intersection,el_intersection,distance,vector_az,vector_el,theta
1308,672522_042,107.5,15,2,37.3908,-9,11,51.864,247,157,40,450,2018-04-20T19:07:54.076,2018,4,21,4,7,54.0764,0.156,100.200701,93.212851,68.301241,19.564111999999998,49.188049,28,49,234.356857,29.363396999999996,198676.8763,234.561084,27.266695000000002,197259.3229,2018-04-20T19:07:33.054080,2018.0,4.0,20.0,19.0,7.0,33.05408,225.37834934917154,-9.283312171917812,225.9276647283687,-9.113261841192795,234.78115275356734,26.21076304046121,234.45872279646855,26.70028024816288,234.61993777501795,26.455521644312043,233.51561798707348,38.0,234.97667683091493,23.0,234.6399060178275,26.457466629495567,0.020062743787079815,0.019968242809568437,0.0019449851835240395,27.808385530884554
1309,672644_007,102.5,14,53,55.7272,-7,31,55.927,243,125,60,365,2018-04-20T19:08:39.185,2018,4,21,4,8,39.185359999999996,0.15912,100.844578,93.65657399999999,137.213406,34.565872999999996,53.356429000000006,15,40,232.125825,29.485575,199221.4836,233.71983799999998,27.62272,195968.6259,2018-04-20T19:08:36.141581,2018.0,4.0,20.0,19.0,8.0,36.141581,223.23726777053122,-7.583163651342078,223.6452140765064,-7.498373466761556,238.00678911882957,25.828502655056056,237.74773107347545,26.169865555022138,237.8772600961525,25.9991841050391,226.0,36.64456537860735,237.67542003690568,23.0,236.2791759174158,24.63173094523839,2.103283429920333,-1.5980841787366842,-1.3674531598007071,3.3584134261602876
1310,672725_021,82.0,15,2,51.8274,-6,48,25.6,282,166,100,450,2018-04-20T19:09:49.410,2018,4,21,4,9,49.41032,0.20904,105.791155,99.245965,138.238453,55.96814499999999,59.466297,24,55,232.15674900000002,30.253953999999997,204280.4624,235.42965,28.549639000000003,201624.6115,2018-04-20T19:09:39.024481,2018.0,4.0,20.0,19.0,9.0,39.024481,225.4736531921009,-6.772224826943421,225.939546428774,-6.839187234864199,237.04477539395225,27.766237509657216,236.61098471346887,28.033671290028884,236.82788005371054,27.89995439984305,226.0,33.4599903793268,242.0,25.128225990486442,236.79575387603222,27.838260523388634,0.06955735535651075,-0.03212617767832171,-0.061693876454416596,4.146423994998123
1311,672744_046,118.5,14,53,59.516999999999996,-7,36,57.606,256,188,125,420,2018-04-20T19:10:01.872,2018,4,21,4,10,1.8716,0.16848,110.23593799999999,102.947923,160.009269,50.50161,67.051237,17,47,232.45249900000002,31.355075,206356.9336,235.28813799999998,30.016018,200232.5529,2018-04-20T19:09:39.024481,2018.0,4.0,20.0,19.0,9.0,39.024481,223.3218270437235,-7.708234283933459,223.71795844690425,-7.500824115602809,238.05148751106086,25.61589096583204,237.8971762164953,26.037670918411095,237.97433186377808,25.826780942121566,226.0,34.40210036304626,242.0,26.84651518453788,239.1020949310684,28.21497572125939,2.641083837943283,1.1277630672903172,2.388194779137823,44.62677343786835
1312,673044_082,95.5,15,0,54.7361,-7,38,5.577999999999999,328,200,150,490,2018-04-20T19:13:41.289,2018,4,21,4,13,41.28872,0.24024,108.45536299999999,99.240301,129.002633,52.542795,62.332294,31,72,231.82792,31.550921000000002,202016.3154,235.761623,28.873890999999997,199669.9787,2018-04-20T19:13:00.090219,2018.0,4.0,20.0,19.0,13.0,0.090219,224.99057972674424,-7.654965096014005,225.44450608437083,-7.616272746310471,237.4334152535508,26.222740614371446,237.09884698498286,26.560512307355793,237.26613111926684,26.39162646086362,226.0,35.51703554337047,242.0,24.628445326976333,237.9444636966211,27.388387384176482,1.2056813110202858,0.6783325773542686,0.9967609233128627,11.036257058441713
1313,673531_094,94.5,15,11,18.0807,-9,58,15.225999999999999,253,138,40,450,2018-04-20T19:19:13.063,2018,4,21,4,19,13.06328,0.21528000000000003,109.98878799999999,101.402976,135.322292,51.964095,66.51520500000001,32,65,231.42699100000002,31.501744,205095.3643,235.04143900000003,29.245569,201712.1798,2018-04-20T19:18:26.921053,2018.0,4.0,20.0,19.0,18.0,26.921053,227.53957623050323,-9.989651356173342,228.0898075779652,-9.95307932962063,234.71694718335232,25.309589004349945,234.29865740739183,25.700087277703798,234.50780229537207,25.504838141026873,226.0,34.88932667359913,242.0,24.901964841308313,236.33772262713103,28.436415648660546,3.4558291485327315,1.8299203317589559,2.9315775076336728,11.05915465932301
1314,673541_094,94.5,15,6,53.7128,-10,2,50.331,251,206,40,480,2018-04-20T19:19:13.063,2018,4,21,4,19,13.06328,0.21528000000000003,109.98878799999999,101.402976,135.322292,51.964095,66.51520500000001,32,65,231.42699100000002,31.501744,205095.3643,235.04143900000003,29.245569,201712.1798,2018-04-20T19:18:26.921053,2018.0,4.0,20.0,19.0,18.0,26.921053,226.44069646248911,-10.066212969263692,227.0313086097965,-10.027402225587721,235.53938529077828,24.521905970715228,235.09730196904997,24.944384839750796,235.31834362991412,24.73314540523301,226.0,34.88932667359913,242.0,24.901964841308313,237.26763350836512,27.8559558709937,3.6812601423012747,1.9492898784509975,3.12281046576069,11.728180120978417
1315,673612_023,87.5,15,19,48.1609,-9,20,12.062999999999999,199,256,60,400,2018-04-20T19:19:41.187,2018,4,21,4,19,41.18696,0.19032000000000002,107.22114499999999,98.552201,136.458661,33.61914,54.440514,23,57,233.27667799999998,30.316069,206630.3628,235.0853,28.135389,202773.1826,2018-04-20T19:19:29.809153,2018.0,4.0,20.0,19.0,19.0,29.809153,229.76411256595762,-9.328221672793251,230.21995917820277,-9.34898264945873,233.60261895225375,27.092332298845797,233.20713470171893,27.37358159557415,233.40487682698634,27.232956947209974,226.90374540416653,38.0,239.34451158719213,23.0,234.8438940584159,28.42645540784731,1.869547851191546,1.439017231429574,1.1934984606373362,14.909617182817712
1316,673712_061,152.0,15,20,56.9561,-9,15,43.604,413,199,377,425,2018-04-20T19:21:02.834,2018,4,21,4,21,2.8342400000000003,0.22464,105.770555,97.585186,131.342658,51.075618,59.220996,37,70,231.51133399999998,29.998915999999998,205722.2523,234.68577200000001,27.750971000000003,203214.6816,2018-04-20T19:20:32.692653,2018.0,4.0,20.0,19.0,20.0,32.692653,230.18871774668386,-9.351574453712443,230.2534634754238,-9.232358153745304,233.45058937487752,27.18038627665835,233.48517618999534,27.312104629386543,233.46788278243645,27.246245453022446,226.0,33.90170941055956,241.3948609142298,23.0,234.11268167039123,28.15679891063882,1.1157388606142797,0.6447988879547779,0.9105534576163734,69.40885929540502
1317,673911_048,108.5,15,19,21.4452,-9,54,51.049,118,86,20,260,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,229.70721070515847,-9.956791884962152,230.03060634702197,-9.85234136018044,233.83371629185328,26.069350548262346,233.645464671973,26.358965208581566,233.73959048191313,26.214157878421958,226.80931381616026,38.0,235.51468478468723,23.0,233.6720657233321,26.174969340221423,0.07807262354832932,-0.06752475858101548,-0.03918853820053414,2.8950761670407172
1318,673915_047,127.5,15,20,9.8007,-6,52,30.723000000000003,262,212,180,360,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,229.93126732339553,-6.9579953525857325,230.17174986542582,-6.776245157494868,235.91144696658804,28.442382157506795,235.85115236618992,28.737738286434563,235.881299666389,28.59006022197068,226.80931381616026,38.0,235.51468478468723,23.0,233.18021529194235,27.02246412218068,3.1230136615065716,-2.7010843744466513,-1.567596099790002,18.591139262384463
1319,673915_048,127.0,15,21,4.2745,-6,42,5.1160000000000005,432,80,380,490,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,230.19834157095437,-6.753029812682754,230.34527605833927,-6.6438446075050175,235.8468536039755,28.772696221196394,235.80825011669046,28.951789503915194,235.82755186033296,28.862242862555796,226.80931381616026,38.0,235.51468478468723,23.0,233.04850939386853,27.249403155364917,3.2131493820711596,-2.779042466464432,-1.6128397071908793,17.96510636046672
1320,673921_048,108.5,15,16,37.5962,-10,8,15.307,428,257,368,490,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,229.07595912494102,-10.163932995114513,229.24002071805316,-10.110318105238358,234.1949474465531,25.500641073426817,234.10138140354172,25.648403713270977,234.1481644250474,25.574522393348897,226.80931381616026,38.0,235.51468478468723,23.0,234.05269539782196,25.51911617348214,0.11038199291232612,-0.09546902722544814,-0.05540621986675731,2.2136668359060545
1321,673924_047,128.5,15,15,46.8614,-7,42,37.592,261,243,223,310,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,228.8941978072121,-7.750036722237191,229.01102195365468,-7.6593992118644145,236.15849768950528,27.162752834889087,236.13228409797279,27.307923398661618,236.14539089373903,27.235338116775353,226.80931381616026,38.0,235.51468478468723,23.0,233.83488598089068,25.89441795737875,2.6714228093232664,-2.3105049128483586,-1.3409201593966031,19.893423317121762
1322,673924_048,128.5,15,16,37.9483,-7,32,58.425,420,120,340,490,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,229.05095311308548,-7.632875382364913,229.25182195751594,-7.476709232211228,236.11988448010553,27.354274700784305,236.07466448628622,27.604133115859593,236.09727448319586,27.47920390832195,226.80931381616026,38.0,235.51468478468723,23.0,233.71689226159882,26.097729889262705,2.752215468714429,-2.3803822215970456,-1.3814740190592438,19.87059284260422
1323,673933_048,128.0,15,12,7.7913,-8,24,10.819,398,166,352,490,2018-04-20T19:23:02.212,2018,4,21,4,23,2.21168,0.39936,92.847426,86.010471,174.976529,25.217053,19.277046,69,111,233.08104900000004,27.193334999999998,196957.4733,233.974931,25.65311,192231.3848,2018-04-20T19:22:38.453454,2018.0,4.0,20.0,19.0,22.0,38.453454,227.97035668373618,-8.44998720177671,228.15660920472186,-8.30894789166654,236.37387373013178,26.02724880632027,236.3310755647729,26.25609210328958,236.35247464745234,26.141670454804924,226.80931381616026,38.0,235.51468478468723,23.0,234.36186062401393,24.98640155285937,2.3015626052993094,-1.990614023438411,-1.1552689019455542,19.536023261562836
1324,680132_003,58.5,9,59,46.5003,-9,1,58.376999999999995,428,54,350,500,2018-04-21T14:03:51.551,2018,4,21,23,3,51.55064,0.156,90.889057,89.452846,187.84858300000002,63.849624,21.884851,22,40,233.084703,26.560435,196861.4964,233.77461499999998,26.482833000000003,194307.1365,2018-04-21T14:03:50.699894,2018.0,4.0,21.0,14.0,3.0,50.699894,149.83988585763709,-8.968941594129413,150.03964660108093,-9.091791212118581,235.3341443849998,26.18403324628857,235.0794506803769,26.22638683534705,235.20679753268837,26.20521004081781,226.0,27.35732956366315,242.0,25.557633370525565,235.21974113987193,26.32028374921681,0.11579937535073351,0.01294360718355847,0.11507370839899878,3.0237358156049687
